"","plot","species","date","number_alive","community","number_planted","percent_alive","month"
"50",2404,"rhov",2022-04-29,9,"sage_facultative_resprouter",9,1,"Apr"
"51",2404,"enca",2022-04-29,9,"sage_facultative_resprouter",10,0.9,"Apr"
"52",2461,"enca",2022-04-29,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"53",2461,"arca",2022-04-29,10,"sage_obligate_seeder/resprouter",10,1,"Apr"
"54",2461,"hear",2022-04-29,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Apr"
"55",2461,"saap",2022-04-29,10,"sage_obligate_seeder/resprouter",10,1,"Apr"
"56",2461,"sale",2022-04-29,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"57",2461,"ceol",2022-04-29,7,"sage_obligate_seeder/resprouter",7,1,"Apr"
"58",2461,"erfa",2022-04-29,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Apr"
"59",2461,"same",2022-04-29,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Apr"
"60",2461,"cecu",2022-04-29,2,"sage_obligate_seeder/resprouter",5,0.4,"Apr"
"61",2461,"rhil",2022-04-29,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Apr"
"62",11,"mala",2022-04-20,5,"sage_facultative_resprouter",8,0.625,"Apr"
"63",11,"enca",2022-04-20,8,"sage_facultative_resprouter",10,0.8,"Apr"
"64",11,"same",2022-04-20,6,"sage_facultative_resprouter",7,0.857142857142857,"Apr"
"65",11,"arca",2022-04-20,1,"sage_facultative_resprouter",10,0.1,"Apr"
"66",11,"sale",2022-04-20,10,"sage_facultative_resprouter",10,1,"Apr"
"67",11,"adfa",2022-04-20,2,"sage_facultative_resprouter",9,0.222222222222222,"Apr"
"68",11,"erfa",2022-04-20,3,"sage_facultative_resprouter",7,0.428571428571429,"Apr"
"69",11,"rhov",2022-04-20,8,"sage_facultative_resprouter",9,0.888888888888889,"Apr"
"70",11,"saap",2022-04-20,10,"sage_facultative_resprouter",10,1,"Apr"
"71",13,"sale",2022-04-29,10,"sage_obligate_seeder/resprouter",10,1,"Apr"
"72",13,"arca",2022-04-29,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"73",13,"cecu",2022-04-29,5,"sage_obligate_seeder/resprouter",5,1,"Apr"
"74",13,"enca",2022-04-29,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"75",13,"saap",2022-04-29,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"76",13,"ceol",2022-04-29,7,"sage_obligate_seeder/resprouter",7,1,"Apr"
"77",13,"hear",2022-04-29,7,"sage_obligate_seeder/resprouter",7,1,"Apr"
"78",13,"same",2022-04-29,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Apr"
"79",13,"rhil",2022-04-29,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Apr"
"80",13,"erfa",2022-04-29,2,"sage_obligate_seeder/resprouter",7,0.285714285714286,"Apr"
"81",2402,"hear",2022-04-29,7,"chaparral_only",12,0.583333333333333,"Apr"
"82",2402,"rhov",2022-04-29,9,"chaparral_only",13,0.692307692307692,"Apr"
"83",2402,"cecu",2022-04-29,3,"chaparral_only",5,0.6,"Apr"
"84",2402,"rhil",2022-04-29,11,"chaparral_only",12,0.916666666666667,"Apr"
"85",2402,"ceol",2022-04-29,9,"chaparral_only",13,0.692307692307692,"Apr"
"86",2402,"adfa",2022-04-29,3,"chaparral_only",13,0.230769230769231,"Apr"
"87",2402,"mala",2022-04-29,4,"chaparral_only",12,0.333333333333333,"Apr"
"88",2460,"saap",2022-04-20,9,"sage_facultative_resprouter",10,0.9,"Apr"
"89",2460,"erfa",2022-04-20,5,"sage_facultative_resprouter",7,0.714285714285714,"Apr"
"90",2460,"mala",2022-04-20,4,"sage_facultative_resprouter",8,0.5,"Apr"
"91",2460,"arca",2022-04-20,10,"sage_facultative_resprouter",10,1,"Apr"
"92",2460,"rhov",2022-04-20,8,"sage_facultative_resprouter",9,0.888888888888889,"Apr"
"93",2460,"sale",2022-04-20,10,"sage_facultative_resprouter",10,1,"Apr"
"94",2460,"enca",2022-04-20,9,"sage_facultative_resprouter",10,0.9,"Apr"
"95",2460,"same",2022-04-20,8,"sage_facultative_resprouter",8,1,"Apr"
"96",2460,"adfa",2022-04-20,4,"sage_facultative_resprouter",9,0.444444444444444,"Apr"
"97",12,"hear",2022-04-29,9,"chaparral_only",12,0.75,"Apr"
"98",12,"mala",2022-04-29,4,"chaparral_only",12,0.333333333333333,"Apr"
"99",12,"adfa",2022-04-29,2,"chaparral_only",13,0.153846153846154,"Apr"
"100",12,"rhov",2022-04-29,11,"chaparral_only",13,0.846153846153846,"Apr"
"101",12,"rhil",2022-04-29,10,"chaparral_only",12,0.833333333333333,"Apr"
"102",12,"ceol",2022-04-29,10,"chaparral_only",13,0.769230769230769,"Apr"
"103",12,"cecu",2022-04-29,4,"chaparral_only",5,0.8,"Apr"
"104",2405,"sale",2022-04-20,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"105",2405,"enca",2022-04-20,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"106",2405,"same",2022-04-20,7,"sage_obligate_seeder/resprouter",7,1,"Apr"
"107",2405,"cecu",2022-04-20,4,"sage_obligate_seeder/resprouter",5,0.8,"Apr"
"108",2405,"ceol",2022-04-20,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Apr"
"109",2405,"arca",2022-04-20,1,"sage_obligate_seeder/resprouter",10,0.1,"Apr"
"110",2405,"saap",2022-04-20,9,"sage_obligate_seeder/resprouter",10,0.9,"Apr"
"111",2405,"erfa",2022-04-20,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Apr"
"112",2405,"hear",2022-04-20,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Apr"
"113",2405,"rhil",2022-04-20,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Apr"
"114",2459,"hear",2022-04-29,11,"chaparral_only",12,0.916666666666667,"Apr"
"115",2459,"rhov",2022-04-29,12,"chaparral_only",13,0.923076923076923,"Apr"
"116",2459,"ceol",2022-04-29,10,"chaparral_only",13,0.769230769230769,"Apr"
"117",2459,"rhil",2022-04-29,10,"chaparral_only",12,0.833333333333333,"Apr"
"118",2459,"adfa",2022-04-29,5,"chaparral_only",13,0.384615384615385,"Apr"
"119",2459,"mala",2022-04-29,8,"chaparral_only",12,0.666666666666667,"Apr"
"120",2459,"cecu",2022-04-29,4,"chaparral_only",5,0.8,"Apr"
"121",2460,"saap",2022-06-09,9,"sage_facultative_resprouter",10,0.9,"Jun"
"122",2460,"erfa",2022-06-09,5,"sage_facultative_resprouter",7,0.714285714285714,"Jun"
"123",2460,"mala",2022-06-09,4,"sage_facultative_resprouter",8,0.5,"Jun"
"124",2460,"arca",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"125",2460,"rhov",2022-06-09,8,"sage_facultative_resprouter",9,0.888888888888889,"Jun"
"126",2460,"sale",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"127",2460,"enca",2022-06-09,9,"sage_facultative_resprouter",10,0.9,"Jun"
"128",2460,"same",2022-06-09,8,"sage_facultative_resprouter",7,1.14285714285714,"Jun"
"129",2460,"adfa",2022-06-09,4,"sage_facultative_resprouter",9,0.444444444444444,"Jun"
"130",2403,"same",2022-06-09,8,"sage_obligate_seeder/resprouter",7,1.14285714285714,"Jun"
"131",2403,"saap",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"132",2403,"sale",2022-06-09,10,"sage_obligate_seeder/resprouter",10,1,"Jun"
"133",2403,"arca",2022-06-09,11,"sage_obligate_seeder/resprouter",10,1.1,"Jun"
"134",2403,"enca",2022-06-09,8,"sage_obligate_seeder/resprouter",10,0.8,"Jun"
"135",2403,"erfa",2022-06-09,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Jun"
"136",2403,"hear",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"137",2403,"rhil",2022-06-09,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Jun"
"138",2403,"cecu",2022-06-09,6,"sage_obligate_seeder/resprouter",6,1,"Jun"
"139",2403,"ceol",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"140",2402,"hear",2022-06-09,7,"chaparral_only",12,0.583333333333333,"Jun"
"141",2402,"rhov",2022-06-09,9,"chaparral_only",13,0.692307692307692,"Jun"
"142",2402,"cecu",2022-06-09,1,"chaparral_only",5,0.2,"Jun"
"143",2402,"rhil",2022-06-09,7,"chaparral_only",12,0.583333333333333,"Jun"
"144",2402,"ceol",2022-06-09,8,"chaparral_only",13,0.615384615384615,"Jun"
"145",2402,"adfa",2022-06-09,1,"chaparral_only",13,0.0769230769230769,"Jun"
"146",2402,"mala",2022-06-09,2,"chaparral_only",12,0.166666666666667,"Jun"
"147",2404,"mala",2022-06-09,5,"sage_facultative_resprouter",8,0.625,"Jun"
"148",2404,"sale",2022-06-09,11,"sage_facultative_resprouter",11,1,"Jun"
"149",2404,"adfa",2022-06-09,6,"sage_facultative_resprouter",9,0.666666666666667,"Jun"
"150",2404,"erfa",2022-06-09,7,"sage_facultative_resprouter",7,1,"Jun"
"151",2404,"arca",2022-06-09,8,"sage_facultative_resprouter",10,0.8,"Jun"
"152",2404,"saap",2022-06-09,8,"sage_facultative_resprouter",10,0.8,"Jun"
"153",2404,"same",2022-06-09,6,"sage_facultative_resprouter",7,0.857142857142857,"Jun"
"154",2404,"rhov",2022-06-09,9,"sage_facultative_resprouter",9,1,"Jun"
"155",2404,"enca",2022-06-09,9,"sage_facultative_resprouter",10,0.9,"Jun"
"156",2461,"enca",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"157",2461,"arca",2022-06-09,10,"sage_obligate_seeder/resprouter",10,1,"Jun"
"158",2461,"hear",2022-06-09,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Jun"
"159",2461,"saap",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"160",2461,"sale",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"161",2461,"ceol",2022-06-09,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Jun"
"162",2461,"erfa",2022-06-09,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Jun"
"163",2461,"same",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"164",2461,"cecu",2022-06-09,1,"sage_obligate_seeder/resprouter",5,0.2,"Jun"
"165",2461,"rhil",2022-06-09,5,"sage_obligate_seeder/resprouter",7,0.714285714285714,"Jun"
"166",2458,"mala",2022-06-09,5,"chaparral_only",12,0.416666666666667,"Jun"
"167",2458,"ceol",2022-06-09,9,"chaparral_only",13,0.692307692307692,"Jun"
"168",2458,"rhil",2022-06-09,9,"chaparral_only",12,0.75,"Jun"
"169",2458,"adfa",2022-06-09,4,"chaparral_only",13,0.307692307692308,"Jun"
"170",2458,"cecu",2022-06-09,0,"chaparral_only",5,0,"Jun"
"171",2458,"rhov",2022-06-09,13,"chaparral_only",13,1,"Jun"
"172",2458,"hear",2022-06-09,11,"chaparral_only",12,0.916666666666667,"Jun"
"173",12,"hear",2022-06-09,7,"chaparral_only",12,0.583333333333333,"Jun"
"174",12,"mala",2022-06-09,3,"chaparral_only",12,0.25,"Jun"
"175",12,"adfa",2022-06-09,2,"chaparral_only",13,0.153846153846154,"Jun"
"176",12,"rhov",2022-06-09,12,"chaparral_only",13,0.923076923076923,"Jun"
"177",12,"rhil",2022-06-09,8,"chaparral_only",12,0.666666666666667,"Jun"
"178",12,"ceol",2022-06-09,9,"chaparral_only",13,0.692307692307692,"Jun"
"179",12,"cecu",2022-06-09,3,"chaparral_only",5,0.6,"Jun"
"180",13,"sale",2022-06-09,7,"sage_obligate_seeder/resprouter",10,0.7,"Jun"
"181",13,"arca",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"182",13,"cecu",2022-06-09,5,"sage_obligate_seeder/resprouter",5,1,"Jun"
"183",13,"enca",2022-06-09,8,"sage_obligate_seeder/resprouter",10,0.8,"Jun"
"184",13,"saap",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"185",13,"ceol",2022-06-09,7,"sage_obligate_seeder/resprouter",7,1,"Jun"
"186",13,"hear",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"187",13,"same",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"188",13,"rhil",2022-06-09,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Jun"
"189",13,"erfa",2022-06-09,2,"sage_obligate_seeder/resprouter",7,0.285714285714286,"Jun"
"190",2462,"sale",2022-06-09,8,"sage_facultative_resprouter",10,0.8,"Jun"
"191",2462,"saap",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"192",2462,"arca",2022-06-09,7,"sage_facultative_resprouter",10,0.7,"Jun"
"193",2462,"erfa",2022-06-09,3,"sage_facultative_resprouter",7,0.428571428571429,"Jun"
"194",2462,"same",2022-06-09,7,"sage_facultative_resprouter",7,1,"Jun"
"195",2462,"enca",2022-06-09,7,"sage_facultative_resprouter",10,0.7,"Jun"
"196",2462,"adfa",2022-06-09,2,"sage_facultative_resprouter",9,0.222222222222222,"Jun"
"197",2462,"rhov",2022-06-09,8,"sage_facultative_resprouter",9,0.888888888888889,"Jun"
"198",2462,"mala",2022-06-09,3,"sage_facultative_resprouter",8,0.375,"Jun"
"199",2401,"hear",2022-06-09,1,"sage_obligate_seeder/resprouter",7,0.142857142857143,"Jun"
"200",2401,"saap",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"201",2401,"rhil",2022-06-09,3,"sage_obligate_seeder/resprouter",7,0.428571428571429,"Jun"
"202",2401,"arca",2022-06-09,6,"sage_obligate_seeder/resprouter",10,0.6,"Jun"
"203",2401,"ceol",2022-06-09,1,"sage_obligate_seeder/resprouter",7,0.142857142857143,"Jun"
"204",2401,"same",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"205",2401,"sale",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"206",2401,"erfa",2022-06-09,2,"sage_obligate_seeder/resprouter",7,0.285714285714286,"Jun"
"207",2401,"cecu",2022-06-09,3,"sage_obligate_seeder/resprouter",5,0.6,"Jun"
"208",2401,"enca",2022-06-09,5,"sage_obligate_seeder/resprouter",10,0.5,"Jun"
"209",11,"mala",2022-06-09,4,"sage_facultative_resprouter",8,0.5,"Jun"
"210",11,"enca",2022-06-09,4,"sage_facultative_resprouter",10,0.4,"Jun"
"211",11,"same",2022-06-09,6,"sage_facultative_resprouter",7,0.857142857142857,"Jun"
"212",11,"arca",2022-06-09,1,"sage_facultative_resprouter",10,0.1,"Jun"
"213",11,"sale",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"214",11,"adfa",2022-06-09,2,"sage_facultative_resprouter",9,0.222222222222222,"Jun"
"215",11,"erfa",2022-06-09,3,"sage_facultative_resprouter",7,0.428571428571429,"Jun"
"216",11,"rhov",2022-06-09,8,"sage_facultative_resprouter",9,0.888888888888889,"Jun"
"217",11,"saap",2022-06-09,8,"sage_facultative_resprouter",10,0.8,"Jun"
"218",2405,"enca",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"219",2405,"same",2022-06-09,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Jun"
"220",2405,"cecu",2022-06-09,3,"sage_obligate_seeder/resprouter",5,0.6,"Jun"
"221",2405,"sale",2022-06-09,9,"sage_obligate_seeder/resprouter",10,0.9,"Jun"
"222",2405,"saap",2022-06-09,8,"sage_obligate_seeder/resprouter",10,0.8,"Jun"
"223",2405,"erfa",2022-06-09,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Jun"
"224",2405,"hear",2022-06-09,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Jun"
"225",2405,"ceol",2022-06-09,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Jun"
"226",2405,"arca",2022-06-09,1,"sage_obligate_seeder/resprouter",10,0.1,"Jun"
"227",2405,"rhil",2022-06-09,3,"sage_obligate_seeder/resprouter",7,0.428571428571429,"Jun"
"228",14,"adfa",2022-06-09,5,"sage_facultative_resprouter",9,0.555555555555556,"Jun"
"229",14,"arca",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"230",14,"mala",2022-06-09,5,"sage_facultative_resprouter",8,0.625,"Jun"
"231",14,"saap",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"232",14,"sale",2022-06-09,10,"sage_facultative_resprouter",10,1,"Jun"
"233",14,"rhov",2022-06-09,9,"sage_facultative_resprouter",9,1,"Jun"
"234",14,"same",2022-06-09,7,"sage_facultative_resprouter",7,1,"Jun"
"235",14,"enca",2022-06-09,9,"sage_facultative_resprouter",10,0.9,"Jun"
"236",14,"erfa",2022-06-09,4,"sage_facultative_resprouter",7,0.571428571428571,"Jun"
"237",15,"mala",2022-06-09,3,"chaparral_only",12,0.25,"Jun"
"238",15,"adfa",2022-06-09,1,"chaparral_only",13,0.0769230769230769,"Jun"
"239",15,"rhov",2022-06-09,11,"chaparral_only",13,0.846153846153846,"Jun"
"240",15,"ceol",2022-06-09,11,"chaparral_only",13,0.846153846153846,"Jun"
"241",15,"hear",2022-06-09,7,"chaparral_only",12,0.583333333333333,"Jun"
"242",15,"cecu",2022-06-09,2,"chaparral_only",5,0.4,"Jun"
"243",15,"rhil",2022-06-09,3,"chaparral_only",12,0.25,"Jun"
"244",2459,"hear",2022-06-09,9,"chaparral_only",12,0.75,"Jun"
"245",2459,"rhov",2022-06-09,12,"chaparral_only",13,0.923076923076923,"Jun"
"246",2459,"ceol",2022-06-09,9,"chaparral_only",13,0.692307692307692,"Jun"
"247",2459,"rhil",2022-06-09,8,"chaparral_only",12,0.666666666666667,"Jun"
"248",2459,"adfa",2022-06-09,5,"chaparral_only",13,0.384615384615385,"Jun"
"249",2459,"mala",2022-06-09,8,"chaparral_only",12,0.666666666666667,"Jun"
"250",2459,"cecu",2022-06-09,2,"chaparral_only",5,0.4,"Jun"
"251",2460,"saap",2022-08-05,9,"sage_facultative_resprouter",10,0.9,"Aug"
"252",2460,"erfa",2022-08-05,5,"sage_facultative_resprouter",7,0.714285714285714,"Aug"
"253",2460,"mala",2022-08-05,4,"sage_facultative_resprouter",8,0.5,"Aug"
"254",2460,"arca",2022-08-05,10,"sage_facultative_resprouter",10,1,"Aug"
"255",2460,"rhov",2022-08-05,8,"sage_facultative_resprouter",9,0.888888888888889,"Aug"
"256",2460,"sale",2022-08-05,10,"sage_facultative_resprouter",10,1,"Aug"
"257",2460,"enca",2022-08-05,9,"sage_facultative_resprouter",10,0.9,"Aug"
"258",2460,"same",2022-08-05,8,"sage_facultative_resprouter",7,1.14285714285714,"Aug"
"259",2460,"adfa",2022-08-05,1,"sage_facultative_resprouter",9,0.111111111111111,"Aug"
"260",2461,"enca",2022-08-05,8,"sage_obligate_seeder/resprouter",10,0.8,"Aug"
"261",2461,"arca",2022-08-05,10,"sage_obligate_seeder/resprouter",10,1,"Aug"
"262",2461,"hear",2022-08-05,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Aug"
"263",2461,"saap",2022-08-05,6,"sage_obligate_seeder/resprouter",10,0.6,"Aug"
"264",2461,"sale",2022-08-05,7,"sage_obligate_seeder/resprouter",10,0.7,"Aug"
"265",2461,"ceol",2022-08-05,1,"sage_obligate_seeder/resprouter",7,0.142857142857143,"Aug"
"266",2461,"erfa",2022-08-05,3,"sage_obligate_seeder/resprouter",7,0.428571428571429,"Aug"
"267",2461,"same",2022-08-05,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Aug"
"268",2461,"cecu",2022-08-05,0,"sage_obligate_seeder/resprouter",5,0,"Aug"
"269",2461,"rhil",2022-08-05,2,"sage_obligate_seeder/resprouter",7,0.285714285714286,"Aug"
"270",2402,"hear",2022-08-05,3,"chaparral_only",12,0.25,"Aug"
"271",2402,"rhov",2022-08-05,3,"chaparral_only",13,0.230769230769231,"Aug"
"272",2402,"rhil",2022-08-05,0,"chaparral_only",12,0,"Aug"
"273",2402,"ceol",2022-08-05,2,"chaparral_only",13,0.153846153846154,"Aug"
"274",2402,"cecu",2022-08-05,0,"chaparral_only",5,0,"Aug"
"275",2402,"adfa",2022-08-05,1,"chaparral_only",13,0.0769230769230769,"Aug"
"276",2402,"mala",2022-08-05,1,"chaparral_only",12,0.0833333333333333,"Aug"
"277",2458,"mala",2022-08-05,5,"chaparral_only",12,0.416666666666667,"Aug"
"278",2458,"ceol",2022-08-05,7,"chaparral_only",13,0.538461538461538,"Aug"
"279",2458,"rhil",2022-08-05,5,"chaparral_only",12,0.416666666666667,"Aug"
"280",2458,"adfa",2022-08-05,4,"chaparral_only",13,0.307692307692308,"Aug"
"281",2458,"cecu",2022-08-05,0,"chaparral_only",5,0,"Aug"
"282",2458,"rhov",2022-08-05,11,"chaparral_only",13,0.846153846153846,"Aug"
"283",2458,"hear",2022-08-05,9,"chaparral_only",12,0.75,"Aug"
"284",15,"mala",2022-08-05,1,"chaparral_only",12,0.0833333333333333,"Aug"
"285",15,"adfa",2022-08-05,0,"chaparral_only",13,0,"Aug"
"286",15,"rhov",2022-08-05,4,"chaparral_only",13,0.307692307692308,"Aug"
"287",15,"ceol",2022-08-05,3,"chaparral_only",13,0.230769230769231,"Aug"
"288",15,"hear",2022-08-05,2,"chaparral_only",12,0.166666666666667,"Aug"
"289",15,"rhil",2022-08-05,0,"chaparral_only",12,0,"Aug"
"290",14,"adfa",2022-08-05,5,"sage_facultative_resprouter",9,0.555555555555556,"Aug"
"291",14,"arca",2022-08-05,10,"sage_facultative_resprouter",10,1,"Aug"
"292",14,"mala",2022-08-05,4,"sage_facultative_resprouter",8,0.5,"Aug"
"293",14,"saap",2022-08-05,9,"sage_facultative_resprouter",10,0.9,"Aug"
"294",14,"sale",2022-08-05,10,"sage_facultative_resprouter",10,1,"Aug"
"295",14,"rhov",2022-08-05,6,"sage_facultative_resprouter",9,0.666666666666667,"Aug"
"296",14,"same",2022-08-05,7,"sage_facultative_resprouter",7,1,"Aug"
"297",14,"enca",2022-08-05,9,"sage_facultative_resprouter",10,0.9,"Aug"
"298",14,"erfa",2022-08-05,4,"sage_facultative_resprouter",7,0.571428571428571,"Aug"
"299",13,"sale",2022-08-05,7,"sage_obligate_seeder/resprouter",10,0.7,"Aug"
"300",13,"cecu",2022-08-05,5,"sage_obligate_seeder/resprouter",5,1,"Aug"
"301",13,"enca",2022-08-05,7,"sage_obligate_seeder/resprouter",10,0.7,"Aug"
"302",13,"saap",2022-08-05,9,"sage_obligate_seeder/resprouter",10,0.9,"Aug"
"303",13,"ceol",2022-08-05,2,"sage_obligate_seeder/resprouter",7,0.285714285714286,"Aug"
"304",13,"hear",2022-08-05,4,"sage_obligate_seeder/resprouter",7,0.571428571428571,"Aug"
"305",13,"arca",2022-08-05,8,"sage_obligate_seeder/resprouter",10,0.8,"Aug"
"306",13,"same",2022-08-05,6,"sage_obligate_seeder/resprouter",7,0.857142857142857,"Aug"
