plot,par_plot,par_ambient,soil_moisture,probe_length,date,community
15,1663,1753,5.7,30 cm,15-Jul,
13,1660,1705,16.8,30,4/5/2022,
2461,1660,1710,8.7,30,5/6/2022,
2460,1660,1705,24,30,6/9/2022,
13,1660,1750,20.1,30,6/9/2022,
13,1660,1711,6.1,30 cm,15-Jul,
2405,1659,1735,22.1,30,6/9/2022,
2404,1658,1721,15.8,30,4/5/2022,
2401,1658,1720,9.4,30,5/6/2022,
2462,1658,1737,9.6,30,5/6/2022,
2403,1658,1694,6.9,30 cm,15-Jul,
2405,1658,1713,6.2,30 cm,15-Jul,
15,1657,1720,7.8,30,5/6/2022,
2402,1657,1701,20.2,30,6/9/2022,
2462,1656,1716,7.7,30 cm,15-Jul,
2459,1655,1704,,,8/5/2022,
2402,1654,1706,8.6,30,5/6/2022,
2462,1654,1658,,,8/5/2022,
2402,1652,1704,7.7,30,5/6/2022,
2401,1652,1711,,,8/5/2022,
2460,1652,1686,6.1,30 cm,15-Jul,
2462,1651,1684,,,8/5/2022,
2401,1651,1711,6.6,30 cm,15-Jul,
2458,1650,1695,6.8,30,5/6/2022,
12,1650,1702,9.1,30,5/6/2022,
2462,1649,1744,8.5,30,5/6/2022,
2462,1649,1750,22.2,30,6/9/2022,
2458,1648,1721,17.4,30,4/5/2022,
2402,1648,1684,7.4,30,5/6/2022,
2402,1648,1650,5.7,30 cm,15-Jul,
2403,1647,1720,13.7,30,4/5/2022,
2403,1647,1712,9.3,30,5/6/2022,
2404,1646,1713,14,30,4/5/2022,
2404,1646,1712,15.4,30,4/5/2022,
2405,1645,1761,29.6,30,6/9/2022,
2405,1644,1738,15.5,30,4/5/2022,
2459,1644,1760,21.2,30,6/9/2022,
2405,1642,1746,15.1,30,4/5/2022,
2458,1642,1728,7.9,30,5/6/2022,
2401,1642,1728,21.4,30,6/9/2022,
2459,1641,1740,11.8,30,5/6/2022,
2458,1640,1704,18.9,30,4/5/2022,
13,1640,1753,18.8,30,6/9/2022,
11,1639,1738,6.5,30 cm,15-Jul,
2459,1637,1764,20.4,30,6/9/2022,
2402,1636,1639,6.4,30 cm,15-Jul,
2403,1635,1731,8,30,5/6/2022,
2458,1634,1723,23.5,30,4/5/2022,
2404,1634,1738,8,30,5/6/2022,
2461,1634,1718,25.8,30,6/9/2022,
2405,1633,1742,22.8,30,6/9/2022,
2402,1633,1694,21.2,30,6/9/2022,
2459,1632,1711,15.7,30,4/5/2022,
2402,1631,1633,5.4,30 cm,15-Jul,
15,1630,1721,18.8,30,6/9/2022,
2461,1630,1705,24.7,30,6/9/2022,
2458,1630,1829,,,8/5/2022,
2404,1629,1728,17.3,30,6/9/2022,
2405,1628,1725,18.5,30,4/5/2022,
15,1628,1711,18.6,30,6/9/2022,
11,1628,1716,7.6,30 cm,15-Jul,
2459,1627,1762,17.9,30,4/5/2022,
11,1627,1714,9.1,30,5/6/2022,
2401,1627,1748,20.6,30,6/9/2022,
2401,1627,1751,21.5,30,6/9/2022,
2402,1627,1700,22.6,30,6/9/2022,
2402,1627,1696,7.7,30 cm,15-Jul,
11,1626,1647,,,8/5/2022,
13,1626,1731,6.4,30 cm,15-Jul,
2459,1625,1708,7.2,30 cm,15-Jul,
12,1622,1740,23.5,30,6/9/2022,
2461,1621,1683,19.6,30,4/5/2022,
2458,1621,1716,19.5,30,4/5/2022,
12,1621,1723,23.1,30,6/9/2022,
2402,1621,1675,6.5,30 cm,15-Jul,
13,1620,1696,8.3,30,5/6/2022,
2404,1620,1711,21.5,30,6/9/2022,
14,1618,1730,18.5,30,2/17/2022,
2401,1618,1721,17.4,30,4/5/2022,
2401,1618,1735,22.1,30,6/9/2022,
13,1617,1724,9.8,30,5/6/2022,
2401,1615,1656,,,8/5/2022,
2404,1613,1704,,,8/5/2022,
11,1611,1738,22.7,30,6/9/2022,
2459,1610,1735,8.9,30,5/6/2022,
2405,1610,1705,6,30 cm,15-Jul,
15,1609,1717,20.5,30,6/9/2022,
2401,1608,1723,5.6,30 cm,15-Jul,
2459,1607,1705,15.6,30,4/5/2022,
13,1607,1753,21.7,30,6/9/2022,
2401,1606,1699,9.8,30,5/6/2022,
11,1606,1763,22.4,30,6/9/2022,
2460,1605,1724,8.9,30,5/6/2022,
15,1602,1705,17.9,30,6/9/2022,
2405,1602,1735,22.9,30,6/9/2022,
13,1602,1725,7.2,30 cm,15-Jul,
15,1601,1711,7.5,30,5/6/2022,
2404,1600,1699,21.3,30,6/9/2022,
11,1600,1712,7.2,30 cm,15-Jul,
12,1599,1763,22.1,30,6/9/2022,
15,1598,1744,20.7,30,6/9/2022,
2462,1598,1727,24.8,30,6/9/2022,
2458,1598,1793,,,8/5/2022,
2401,1598,1705,6.1,30 cm,15-Jul,
2405,1595,1730,9.3,30,5/6/2022,
11,1594,1711,15.7,30,4/5/2022,
12,1591,1668,7.7,30,5/6/2022,
2458,1589,1721,10.1,30,5/6/2022,
11,1589,1745,19,30,6/9/2022,
2405,1587,1726,8.9,30,5/6/2022,
12,1587,1678,8.2,30,5/6/2022,
14,1587,1693,6.2,30 cm,15-Jul,
2461,1584,1703,6.4,30 cm,15-Jul,
14,1580,1744,18,30,2/17/2022,
2460,1580,1702,23.8,30,6/9/2022,
2403,1580,1687,6.2,30 cm,15-Jul,
2459,1578,1702,17.6,30,4/5/2022,
11,1577,1751,20.4,30,6/9/2022,
2462,1577,1747,24.1,30,6/9/2022,
2402,1577,1635,21.5,30,6/9/2022,
2459,1576,1706,15.1,30,4/5/2022,
2405,1575,1711,8.8,30,5/6/2022,
11,1575,1724,7.2,30 cm,15-Jul,
2461,1573,1697,14.3,30,2/17/2022,
2460,1572,1736,19.3,30,2/17/2022,
2460,1572,1731,9.8,30,5/6/2022,
2461,1572,1729,6.2,30 cm,15-Jul,
2458,1570,1724,6.7,30 cm,15-Jul,
11,1566,1697,,,8/5/2022,
2404,1561,1697,6.4,30 cm,15-Jul,
2459,1560,1744,11.2,30,5/6/2022,
13,1560,1710,8.5,30,5/6/2022,
2460,1560,1706,21.8,30,6/9/2022,
12,1560,1734,6.1,30 cm,15-Jul,
2459,1558,1856,,,8/5/2022,
11,1558,1707,6.5,30 cm,15-Jul,
2460,1556,1735,19.8,30,2/17/2022,
11,1556,1686,9.6,30,5/6/2022,
13,1555,1719,9,30,5/6/2022,
2458,1554,1724,7,30 cm,15-Jul,
11,1551,1615,,,8/5/2022,
2401,1550,1687,7.9,30,5/6/2022,
12,1550,1730,9,30,5/6/2022,
2462,1547,1744,22.4,30,6/9/2022,
2462,1547,1693,6.7,30 cm,15-Jul,
2461,1542,1729,21.7,30,6/9/2022,
2458,1541,1723,5.7,30 cm,15-Jul,
11,1539,1705,8.8,30,5/6/2022,
14,1538,1721,,30,2/17/2022,
11,1537,1659,18.2,30,2/17/2022,
15,1537,1707,6.2,30 cm,15-Jul,
12,1535,1727,7.1,30 cm,15-Jul,
2460,1534,1731,16.4,30,2/17/2022,
14,1534,1712,5.5,30 cm,15-Jul,
2403,1533,1685,23.7,30,6/9/2022,
14,1532,1763,22.6,30,6/9/2022,
15,1527,1705,8.4,30,5/6/2022,
15,1527,1720,7.2,30,5/6/2022,
14,1526,1716,19.2,30,2/17/2022,
2405,1526,1704,17.8,30,4/5/2022,
2462,1525,1675,12,30,5/6/2022,
2458,1523,1731,13.2,30,2/17/2022,
2461,1523,1720,5.3,30 cm,15-Jul,
2461,1520,1727,10.6,30,5/6/2022,
12,1519,1725,23.2,30,6/9/2022,
2459,1518,1751,12.4,30,2/17/2022,
2403,1515,1726,20,30,6/9/2022,
12,1514,1589,,,8/5/2022,
14,1512,1531,,,8/5/2022,
12,1510,1742,7.3,30,2/17/2022,
2403,1506,1664,16.6,30,2/17/2022,
2460,1505,1750,15.6,30,2/17/2022,
2403,1505,1696,23.2,30,6/9/2022,
12,1503,1742,10.9,30,2/17/2022,
2404,1503,1742,6.8,30,2/17/2022,
11,1503,1772,,,8/5/2022,
2405,1501,1735,10.1,30,2/17/2022,
2405,1501,1683,7,30 cm,15-Jul,
15,1500,1710,6.7,30 cm,15-Jul,
14,1499,1744,19.4,30,6/9/2022,
2460,1499,1653,6.5,30 cm,15-Jul,
2462,1497,1730,10.8,30,2/17/2022,
2405,1497,1630,6.4,30 cm,15-Jul,
13,1496,1735,6.9,30 cm,15-Jul,
2460,1494,1735,17.4,30,2/17/2022,
2402,1493,1734,7.4,30,2/17/2022,
15,1493,1721,5.6,30 cm,15-Jul,
2401,1492,1692,9.8,30,2/17/2022,
2458,1491,1687,6.8,30 cm,15-Jul,
2401,1487,1720,9.2,30,5/6/2022,
2461,1487,1717,5.4,30 cm,15-Jul,
2459,1485,1750,21.3,30,6/9/2022,
2458,1485,1738,24.1,30,6/9/2022,
2404,1485,1516,,,8/5/2022,
2404,1484,1725,5.7,30 cm,15-Jul,
2458,1483,1728,20,30,6/9/2022,
2458,1481,1711,13.1,30,2/17/2022,
11,1480,1680,10,30,5/6/2022,
2402,1467,1746,9,30,5/6/2022,
15,1467,1741,6.1,30 cm,15-Jul,
2405,1467,1730,6.5,30 cm,15-Jul,
15,1466,1482,,,8/5/2022,
2401,1464,1682,,,8/5/2022,
2404,1463,1668,7.2,30 cm,15-Jul,
2462,1462,1803,,,8/5/2022,
15,1462,1468,,,8/5/2022,
2402,1461,1708,13.5,30,4/5/2022,
14,1461,1507,,,8/5/2022,
2459,1460,1741,17.2,30,2/17/2022,
2401,1454,1738,8.1,30,5/6/2022,
2403,1452,1678,12.4,30,2/17/2022,
2458,1452,1721,9.1,30,5/6/2022,
2404,1451,1471,,,8/5/2022,
12,1450,1770,6.6,30 cm,15-Jul,
12,1448,1711,8.9,30,2/17/2022,
11,1446,1725,9.7,30,2/17/2022,
2401,1446,1754,15.1,30,4/5/2022,
2404,1444,1741,16.9,30,2/17/2022,
13,1442,1453,,,8/5/2022,
2401,1442,1717,7.3,30 cm,15-Jul,
2459,1441,1711,8.3,30 cm,15-Jul,
2401,1440,1659,11.3,30,2/17/2022,
2462,1439,1721,10.5,30,2/17/2022,
2458,1439,1782,,,8/5/2022,
12,1438,1554,,,8/5/2022,
2462,1435,1744,14.8,30,2/17/2022,
12,1433,1765,21.1,30,6/9/2022,
2402,1431,1703,14.6,30,4/5/2022,
2403,1431,1670,6.1,30 cm,15-Jul,
14,1428,1741,16.5,30,2/17/2022,
14,1428,1732,17.7,30,4/5/2022,
2459,1425,1747,20.9,30,6/9/2022,
14,1422,1742,19.8,30,4/5/2022,
2405,1421,1730,10.5,30,2/17/2022,
2402,1420,1721,13.2,30,2/17/2022,
14,1420,1735,21.1,30,4/5/2022,
2461,1418,1659,18.1,30,2/17/2022,
2402,1406,1700,16.4,30,4/5/2022,
2404,1400,1705,9.9,30,2/17/2022,
2458,1400,1628,10.4,30,2/17/2022,
12,1400,1531,,,8/5/2022,
2460,1397,1715,6.8,30 cm,15-Jul,
2405,1390,1732,14,30,2/17/2022,
2458,1389,1748,23.7,30,6/9/2022,
12,1386,1711,11.2,30,2/17/2022,
13,1383,1750,12.1,30,2/17/2022,
12,1383,1501,,,8/5/2022,
2405,1380,1654,10.3,30,2/17/2022,
2403,1376,1745,16.7,30,2/17/2022,
14,1373,1756,18.3,30,6/9/2022,
2404,1371,1719,16,30,4/5/2022,
2461,1370,1710,9.5,30,5/6/2022,
14,1370,1685,8.3,30,5/6/2022,
12,1366,1502,,,8/5/2022,
2404,1362,1601,6.3,30 cm,15-Jul,
2402,1359,1698,15.8,30,4/5/2022,
2458,1347,1735,21.2,30,6/9/2022,
12,1342,1686,6.1,30 cm,15-Jul,
15,1340,1436,,,8/5/2022,
2462,1337,1684,8.6,30,2/17/2022,
13,1337,1368,,,8/5/2022,
2404,1328,1734,8.6,30,5/6/2022,
12,1328,1688,8.9,30,5/6/2022,
2460,1324,1714,5.2,30 cm,15-Jul,
2461,1313,1700,8.8,30,2/17/2022,
13,1311,1416,,,8/5/2022,
14,1300,1685,9.5,30,5/6/2022,
2462,1298,1705,7.3,30 cm,15-Jul,
2404,1297,1715,20.1,30,6/9/2022,
2403,1291,1713,10.2,30,5/6/2022,
2403,1289,1478,,,8/5/2022,
2461,1287,1711,5.3,30 cm,15-Jul,
2459,1287,1711,9.1,30 cm,15-Jul,
15,1286,1722,13.1,30,2/17/2022,
13,1286,1286,,,8/5/2022,
11,1284,1692,9.8,30,2/17/2022,
2403,1276,872,,,8/5/2022,
2403,1274,1699,17.1,30,4/5/2022,
2404,1272,1711,10.5,30,2/17/2022,
15,1270,1299,,,8/5/2022,
2403,1264,909,,,8/5/2022,
2403,1263,1754,12.2,30,2/17/2022,
2403,1262,1688,6.4,30 cm,15-Jul,
13,1250,1730,8.2,30,5/6/2022,
13,1248,1735,8.4,30,2/17/2022,
13,1245,1742,12.1,30,2/17/2022,
14,1241,1736,17.2,30,4/5/2022,
2461,1238,1278,,,8/5/2022,
2458,1236,1703,6.9,30 cm,15-Jul,
12,1232,1710,12.4,30,2/17/2022,
15,1231,1421,,,8/5/2022,
2405,1230,1729,8,30,5/6/2022,
2459,1226,1686,7.5,30 cm,15-Jul,
2402,1220,1748,9.2,30,2/17/2022,
15,1215,1741,8.4,30,2/17/2022,
2404,1215,1730,23.5,30,6/9/2022,
13,1215,1497,,,8/5/2022,
14,1215,1579,,,8/5/2022,
2460,1209,1730,9.3,30,5/6/2022,
2402,1208,1741,11.5,30,2/17/2022,
2403,1208,1705,22.2,30,6/9/2022,
2459,1208,1726,5.8,30 cm,15-Jul,
2459,1200,1735,12.5,30,2/17/2022,
14,1197,1503,,,8/5/2022,
2403,1196,1733,8.6,30,5/6/2022,
2403,1191,1704,8.7,30,5/6/2022,
2460,1181,1345,,,8/5/2022,
2460,1180,1708,23.5,30,6/9/2022,
2461,1174,1319,,,8/5/2022,
2404,1170,1701,9.7,30,5/6/2022,
2461,1170,1316,,,8/5/2022,
15,1159,1726,5.1,30,2/17/2022,
2459,1159,1741,9.8,30,2/17/2022,
2404,1153,1744,18.4,30,2/17/2022,
13,1152,1702,8.1,30,2/17/2022,
2402,1144,1729,11.2,30,2/17/2022,
14,1141,1747,5.3,30 cm,15-Jul,
2460,1136,1277,,,8/5/2022,
15,1127,1717,8.5,30,2/17/2022,
2459,1116,1750,18.9,30,2/17/2022,
2461,1113,1734,23.2,30,6/9/2022,
15,1110,1711,8.2,30,2/17/2022,
2461,1091,1616,13.2,30,2/17/2022,
14,1089,1554,,,8/5/2022,
14,1079,1768,21.6,30,6/9/2022,
2461,1068,1107,,,8/5/2022,
11,1067,1690,12.8,30,2/17/2022,
14,1064,1711,7.1,30 cm,15-Jul,
2460,1059,1183,,,8/5/2022,
2404,1056,1705,20.6,30,4/5/2022,
2458,1053,1692,21,30,2/17/2022,
14,1049,1642,5.8,30 cm,15-Jul,
2404,1034,1572,,,8/5/2022,
11,1025,1711,13.5,30,2/17/2022,
2460,1016,1249,,,8/5/2022,
2458,1013,1729,9.5,30,2/17/2022,
2460,1008,1642,6.1,30 cm,15-Jul,
2402,1000,1001,,,8/5/2022,
2402,996,1078,,,8/5/2022,
2402,988,1078,,,8/5/2022,
2402,987,1064,,,8/5/2022,
13,985,1735,16.9,30,2/17/2022,
2403,971,1752,11.5,30,2/17/2022,
14,962,1714,10.8,30,5/6/2022,
2460,960,1691,13.8,30,5/6/2022,
2402,959,1090,,,8/5/2022,
11,951,1763,20.9,30,6/9/2022,
2461,925,1725,16.9,30,4/5/2022,
2460,924,1730,20.8,30,6/9/2022,
2461,912,1440,,,8/5/2022,
2404,910,1578,,,8/5/2022,
2462,903,1729,12.1,30,2/17/2022,
2405,897,1716,9.8,30,2/17/2022,
2401,892,1725,8.8,30,2/17/2022,
2460,851,1215,,,8/5/2022,
14,843,1745,21.2,30,6/9/2022,
2403,823,1435,,,8/5/2022,
2403,781,1370,,,8/5/2022,
2403,772,1682,6.1,30 cm,15-Jul,
2461,710,1676,8.8,30,2/17/2022,
14,710,1706,10,30,5/6/2022,
2460,655,1711,8.2,30,5/6/2022,
2401,651,1727,11.4,30,2/17/2022,
14,580,1716,8.2,30,5/6/2022,
2401,541,1721,10.1,30,2/17/2022,
11,156,1720,8.4,30,5/6/2022,
15,311,383,3.8,15,9/8/2022,
15,337,394,4.7,15,9/8/2022,
15,393,412,5.5,15,9/8/2022,
15,416,455,3.1,15,9/8/2022,
15,435,465,4.7,15,9/8/2022,
14,555,663,3.7,15,9/8/2022,
14,480,745,5.1,15,9/8/2022,
14,464,647,5.2,15,9/8/2022,
14,431,598,5.2,15,9/8/2022,
14,443,557,4.9,15,9/8/2022,
13,507,544,5,15,9/8/2022,
13,521,533,3.4,15,9/8/2022,
13,519,554,5.3,15,9/8/2022,
13,487,536,5.3,15,9/8/2022,
13,425,515,4.8,15,9/8/2022,
12,444,495,5.5,15,9/8/2022,
12,402,482,5.4,15,9/8/2022,
12,422,465,5.6,15,9/8/2022,
12,401,473,5.8,15,9/8/2022,
12,405,471,5.4,15,9/8/2022,
11,294,461,5.4,15,9/8/2022,
11,396,441,5.6,15,9/8/2022,
11,410,458,4.8,15,9/8/2022,
11,421,486,5.3,15,9/8/2022,
11,418,426,5.2,15,9/8/2022,
2405,344,421,3.8,15,9/8/2022,
2405,381,415,4.8,15,9/8/2022,
2405,370,414,5.3,15,9/8/2022,
2405,382,414,5,15,9/8/2022,
2405,372,419,5,15,9/8/2022,
2459,397,416,5.3,15,9/8/2022,
2459,386,419,4.7,15,9/8/2022,
2459,353,418,5.2,15,9/8/2022,
2459,337,425,5,15,9/8/2022,
2459,348,406,4.7,15,9/8/2022,
2401,371,388,4.8,15,9/8/2022,
2401,330,376,5.3,15,9/8/2022,
2401,343,364,5.3,15,9/8/2022,
2401,316,364,5.3,15,9/8/2022,
2401,298,349,4.5,15,9/8/2022,
2462,241,344,5.5,15,9/8/2022,
2462,272,340,5.3,15,9/8/2022,
2462,265,341,6,15,9/8/2022,
2462,273,345,5,15,9/8/2022,
2462,271,355,5,15,9/8/2022,
2458,227,399,5.3,15,9/8/2022,
2458,317,401,5.4,15,9/8/2022,
2458,357,426,5.6,15,9/8/2022,
2458,354,440,5.7,15,9/8/2022,
2458,387,455,5.3,15,9/8/2022,
2461,379,465,5.6,15,9/8/2022,
2461,372,459,4.8,15,9/8/2022,
2461,373,456,5.9,15,9/8/2022,
2461,319,450,5.8,15,9/8/2022,
2461,350,448,5.3,15,9/8/2022,
2404,263,458,5.4,15,9/8/2022,
2404,260,450,5.4,15,9/8/2022,
2404,346,459,5.4,15,9/8/2022,
2404,373,464,4.9,15,9/8/2022,
2404,383,462,5.3,15,9/8/2022,
2402,377,461,5,15,9/8/2022,
2402,397,460,5.8,15,9/8/2022,
2402,396,465,4.4,15,9/8/2022,
2402,395,460,5.2,15,9/8/2022,
2402,402,459,4.9,15,9/8/2022,
2403,350,446,5.8,15,9/8/2022,
2403,326,445,5.5,15,9/8/2022,
2403,315,440,5.2,15,9/8/2022,
2403,312,431,5,15,9/8/2022,
2403,357,425,5.7,15,9/8/2022,
2460,252,412,5.5,15,9/8/2022,
2460,315,393,5.4,15,9/8/2022,
2460,203,388,4.8,15,9/8/2022,
2460,240,371,5.1,15,9/8/2022,
2460,171,369,5.4,15,9/8/2022,
2403,1373,1716,5,15,10/19/2022,
2403,1600,1754,5.3,15,10/19/2022,
2403,1343,1725,5.8,15,10/19/2022,
2403,1124,1678,4.1,15,10/19/2022,
2403,1063,1744,5.5,15,10/19/2022,
2460,1277,1725,5.6,15,10/19/2022,
2460,1366,1726,6,15,10/19/2022,
2460,1181,1702,5.8,15,10/19/2022,
2460,857,1760,4.6,15,10/19/2022,
2460,1411,1752,3.1,15,10/19/2022,
2402,1370,1706,5.5,15,10/19/2022,
2402,1490,1740,5.3,15,10/19/2022,
2402,1534,1727,5.2,15,10/19/2022,
2402,1493,1732,5.4,15,10/19/2022,
2402,1285,1746,5.7,15,10/19/2022,
2404,1347,1754,5.1,15,10/19/2022,
2404,1336,1707,5.8,15,10/19/2022,
2404,1558,1720,5,15,10/19/2022,
2404,792,1752,5.1,15,10/19/2022,
2404,647,1744,5,15,10/19/2022,
2461,1445,1754,5.5,15,10/19/2022,
2461,1418,1750,5.7,15,10/19/2022,
2461,1336,1624,5.8,15,10/19/2022,
2461,1309,1675,5.6,15,10/19/2022,
2461,1383,1656,5.9,15,10/19/2022,
2458,1452,1706,5.4,15,10/19/2022,
2458,1349,1735,5.1,15,10/19/2022,
2458,1490,1715,5.6,15,10/19/2022,
2458,1417,1647,5.2,15,10/19/2022,
2458,1422,1738,5.2,15,10/19/2022,
2462,1531,1629,4.9,15,10/19/2022,
2462,1440,1740,4.4,15,10/19/2022,
2462,1558,1706,5.3,15,10/19/2022,
2462,1408,1636,5.6,15,10/19/2022,
2462,1534,1631,4.9,15,10/19/2022,
2401,1567,1685,4.7,15,10/19/2022,
2401,1590,1687,6.5,15,10/19/2022,
2401,1535,1659,4.9,15,10/19/2022,
2401,1540,1702,5.6,15,10/19/2022,
2401,1485,1617,6.1,15,10/19/2022,
2459,1421,1615,5.5,15,10/19/2022,
2459,1240,1671,5.9,15,10/19/2022,
2459,1542,1626,3.7,15,10/19/2022,
2459,1550,1611,5.1,15,10/19/2022,
2459,1394,1706,5.6,15,10/19/2022,
2405,1492,1644,4.8,15,10/19/2022,
2405,1461,1617,4.8,15,10/19/2022,
2405,1468,1640,4.7,15,10/19/2022,
2405,1478,1659,4.5,15,10/19/2022,
2405,1515,1666,5.4,15,10/19/2022,
11,1558,1654,5.1,15,10/19/2022,
11,1610,1706,2.9,15,10/19/2022,
11,1554,1686,5.3,15,10/19/2022,
11,1577,1696,4.9,15,10/19/2022,
11,1521,1643,5.4,15,10/19/2022,
12,1420,1685,5.6,15,10/19/2022,
12,1607,1630,4.2,15,10/19/2022,
12,1648,1659,3.8,15,10/19/2022,
12,1523,1678,5.4,15,10/19/2022,
12,1638,1653,4.1,15,10/19/2022,
13,1535,1716,5,15,10/19/2022,
13,1617,1614,5.1,15,10/19/2022,
13,1575,1746,5.1,15,10/19/2022,
13,1519,1621,5.3,15,10/19/2022,
13,1559,1725,5.1,15,10/19/2022,
14,1433,1647,5.1,15,10/19/2022,
14,1049,1774,3.6,15,10/19/2022,
14,1439,1661,5.3,15,10/19/2022,
14,1352,1659,4.2,15,10/19/2022,
14,1400,1656,4.8,15,10/19/2022,
15,1547,1620,4.3,15,10/19/2022,
15,1551,1653,4.6,15,10/19/2022,
15,1613,1683,4.3,15,10/19/2022,
15,1619,1622,5,15,10/19/2022,
15,1337,1732,3.6,15,10/19/2022,
2460,,,11.3,15,21-Nov,
2460,,,8.6,15,21-Nov,
2460,,,8.1,15,21-Nov,
2460,,,5.6,15,21-Nov,
2460,,,6.9,15,21-Nov,
2403,,,9.7,15,21-Nov,
2403,,,9,15,21-Nov,
2403,,,8.1,15,21-Nov,
2403,,,7.7,15,21-Nov,
2403,,,9.8,15,21-Nov,
2402,,,11.1,15,21-Nov,
2402,,,12.2,15,21-Nov,
2402,,,12.7,15,21-Nov,
2402,,,6.3,15,21-Nov,
2402,,,11.4,15,21-Nov,
2404,,,6,15,21-Nov,
2404,,,13.3,15,21-Nov,
2404,,,10.9,15,21-Nov,
2404,,,14.1,15,21-Nov,
2404,,,10.5,15,21-Nov,
2461,,,12.9,15,21-Nov,
2461,,,11.9,15,21-Nov,
2461,,,12.1,15,21-Nov,
2461,,,12.2,15,21-Nov,
2461,,,15,15,21-Nov,
2458,,,9.2,15,21-Nov,
2458,,,12.6,15,21-Nov,
2458,,,8.4,15,21-Nov,
2458,,,11.2,15,21-Nov,
2458,,,13,15,21-Nov,
2462,,,10.3,15,21-Nov,
2462,,,13.7,15,21-Nov,
2462,,,11.4,15,21-Nov,
2462,,,7.8,15,21-Nov,
2462,,,13.2,15,21-Nov,
2401,,,11.7,15,21-Nov,
2401,,,5.6,15,21-Nov,
2401,,,7.2,15,21-Nov,
2401,,,9.5,15,21-Nov,
2401,,,6.4,15,21-Nov,
11,,,9.7,15,21-Nov,
11,,,11.6,15,21-Nov,
11,,,11.3,15,21-Nov,
11,,,7.3,15,21-Nov,
11,,,13.5,15,21-Nov,
12,,,7.8,15,21-Nov,
12,,,7.5,15,21-Nov,
12,,,7.8,15,21-Nov,
12,,,7.1,15,21-Nov,
