"Shane Dewees and NONE , University of California Santa Barbara, California, Santa Barbara",,,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe nutrient supply rates 2023 (in-situ burials).,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 'Total N' is based on addition of NO3--N and NH4+-N.,,,,,,,,,,,,,,,,,,,,,,,,,
"Shipment 6325, Received 2023-05-25, Tracking # UJ 750167651 US",,,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe supply rate (micro grams/10cm2/burial length),,,,,,,,,,,,,,,,,,,,,,,,,
WAL #,Sample ID,Burial Date,Retrieval Date,# Anion,# Cation,Notes,Total N,NO3-N,NH4-N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd,,,
218000,14,2023-04-12,2023-05-03,4,4,,10.46,10.00,0.46,1824.15,247.28,48.61,2.57,2.08,0.57,0.09,0.45,0.38,16.12,0.06,14.80,0.03,,,
218001,15,2023-04-12,2023-05-03,4,4,,3.66,3.66,0.00,1642.06,224.00,34.66,1.68,1.29,0.47,0.07,0.32,0.32,14.01,0.07,12.29,0.03,,,
218002,16,2023-04-12,2023-05-03,4,4,,5.22,4.48,0.74,1783.87,225.64,24.48,1.49,1.59,0.38,0.09,0.53,0.47,15.90,0.00,12.48,0.04,,,
218003,17,2023-04-12,2023-05-03,4,4,,7.28,7.16,0.12,1298.75,233.53,47.79,1.68,1.54,0.49,0.07,0.34,0.45,13.11,0.00,13.95,0.03,,,
218004,18,2023-04-12,2023-05-03,4,4,,7.76,7.24,0.52,1624.53,265.45,61.27,1.61,1.41,0.42,0.08,0.40,0.42,14.61,0.00,15.83,0.03,,,
218005,19,2023-04-12,2023-05-03,4,4,,27.96,27.48,0.48,1471.95,248.14,33.72,4.58,1.56,0.41,0.08,0.46,0.19,21.51,0.04,8.51,0.02,,,
218006,20,2023-04-12,2023-05-03,4,4,,12.34,11.46,0.88,1406.53,243.89,61.74,1.83,1.65,0.37,0.05,0.42,0.56,12.95,0.00,13.49,0.02,,,
218007,21,2023-04-12,2023-05-03,4,3,,6.62,5.36,1.26,1286.83,223.60,48.28,1.14,1.51,0.46,0.06,0.43,0.62,9.46,0.00,15.15,0.02,,,
218008,22,2023-04-12,2023-05-03,4,4,,18.70,18.08,0.62,1521.66,241.47,48.41,2.10,1.19,0.38,0.07,0.59,0.29,15.92,0.01,10.85,0.03,,,
218009,23,2023-04-12,2023-05-03,4,4,,17.94,17.60,0.34,2086.48,341.36,37.05,4.55,1.61,0.40,0.07,0.33,0.39,29.58,0.00,17.52,0.02,,,
218010,24,2023-04-12,2023-05-03,4,4,,5.62,5.42,0.20,1701.77,291.23,37.96,1.54,1.75,0.42,0.05,0.38,0.61,15.35,0.00,15.64,0.02,,,
218011,25,2023-04-12,2023-05-03,4,4,,20.26,19.84,0.42,1180.85,180.71,32.21,0.99,1.71,0.25,0.04,2.62,0.20,11.16,0.07,7.27,0.02,,,
218012,26,2023-04-12,2023-05-03,4,4,,43.02,42.52,0.50,2038.43,277.25,35.90,2.82,2.59,0.44,0.15,0.92,1.25,28.05,0.12,21.36,0.05,,,
218013,27,2023-04-12,2023-05-03,4,4,,18.76,18.04,0.72,1743.59,249.14,39.60,3.64,2.03,0.36,0.08,0.70,0.37,16.28,0.00,12.73,0.03,,,
218014,28,2023-04-12,2023-05-03,4,4,,23.74,23.32,0.42,1837.33,250.35,21.15,1.46,1.99,0.26,0.07,1.74,0.46,16.70,0.04,12.11,0.01,,,
218015,29,2023-04-12,2023-05-03,4,4,,7.06,6.76,0.30,1638.16,243.00,36.65,4.41,1.53,0.38,0.06,0.97,0.40,15.50,0.06,12.01,0.02,,,
218016,30,2023-04-12,2023-05-03,4,4,,38.16,38.08,0.08,1626.29,237.33,37.98,10.00,4.91,3.40,0.22,0.54,0.86,47.37,0.25,15.57,0.03,,,
218017,31,2023-04-12,2023-05-03,4,4,,13.38,12.82,0.56,2007.31,283.41,21.61,10.74,1.74,0.45,0.06,0.30,0.48,22.31,0.05,15.51,0.02,,,
218018,32,2023-04-12,2023-05-03,4,4,,18.94,18.72,0.22,1784.59,260.15,27.43,3.23,2.04,0.67,0.10,0.29,0.50,16.81,0.04,13.30,0.01,,,
218019,33,2023-04-12,2023-05-03,4,4,,9.46,9.06,0.40,1493.38,199.04,47.89,3.04,1.89,0.44,0.04,0.54,0.67,13.80,0.09,14.76,0.01,,,
218020,34,2023-04-12,2023-05-03,4,4,,10.62,8.88,1.74,1637.92,219.67,37.68,2.41,1.89,0.33,0.06,0.82,0.77,15.10,0.02,16.66,0.02,,,
218021,35,2023-04-12,2023-05-03,4,4,,10.84,10.36,0.48,1464.56,193.98,32.67,2.22,1.88,0.38,0.06,1.40,0.35,14.27,0.00,10.28,0.01,,,
218022,36,2023-04-12,2023-05-03,4,4,,12.84,12.70,0.14,1570.90,207.99,34.00,2.09,1.73,0.31,0.06,0.82,0.42,14.22,0.07,13.03,0.02,,,
218023,37,2023-04-12,2023-05-03,4,4,,26.00,25.24,0.76,1671.20,209.72,25.66,2.59,1.77,0.47,0.09,0.73,0.47,15.71,0.04,11.98,0.03,,,
218024,38,2023-04-12,2023-05-03,4,4,,30.94,30.46,0.48,1865.14,245.15,47.77,2.39,1.76,0.41,0.07,0.63,0.33,17.77,0.01,10.65,0.03,,,
218025,39,2023-04-12,2023-05-03,4,4,,11.24,10.48,0.76,1457.45,193.36,42.29,2.41,1.85,0.38,0.06,0.86,0.60,13.69,0.08,14.95,0.02,,,
218026,40,2023-04-12,2023-05-03,4,4,,19.96,19.18,0.78,1639.16,230.69,53.63,2.23,1.74,0.50,0.07,0.90,0.83,15.68,0.00,17.23,0.02,,,
218027,41,2023-04-12,2023-05-03,4,4,,11.86,11.32,0.54,1720.33,223.57,34.45,3.36,1.92,0.82,0.10,0.49,0.85,16.50,0.00,16.85,0.02,,,
218028,42,2023-04-12,2023-05-03,4,4,,8.64,7.46,1.18,1326.56,184.79,30.36,1.64,1.91,0.33,0.06,0.83,0.82,12.18,0.07,15.59,0.02,,,
218029,43,2023-04-12,2023-05-03,4,4,,8.90,8.04,0.86,1376.52,188.66,31.86,1.93,1.40,0.43,0.04,0.72,0.41,13.54,0.02,12.18,0.02,,,
218030,44,2023-04-12,2023-05-03,4,4,,10.84,10.32,0.52,1258.98,171.13,33.44,2.34,1.48,0.41,0.05,0.80,0.50,15.24,0.03,11.68,0.05,,,
218031,45,2023-04-12,2023-05-03,4,4,,21.26,19.94,1.32,1338.83,189.60,33.25,2.00,1.55,0.34,0.06,0.50,0.50,13.56,0.09,11.67,0.04,,,
218032,46,2023-04-12,2023-05-03,4,4,,26.28,25.22,1.06,1422.87,205.29,36.28,1.87,1.53,0.36,0.05,0.53,0.71,13.93,0.00,13.48,0.02,,,
218033,47,2023-04-12,2023-05-03,4,4,,7.92,6.70,1.22,1194.19,165.99,26.43,1.11,1.73,0.29,0.05,0.94,0.63,11.26,0.04,12.98,0.01,,,
218034,48,2023-04-12,2023-05-03,4,4,,11.22,10.08,1.14,990.73,142.42,36.08,1.88,1.22,0.31,0.03,0.69,0.31,10.49,0.00,8.88,0.00,,,
218035,49,2023-04-12,2023-05-03,4,4,,8.26,6.82,1.44,1725.92,234.04,35.16,1.73,1.84,0.41,0.08,0.79,0.67,16.10,0.00,17.51,0.02,,,
218036,50,2023-04-12,2023-05-03,4,4,,12.32,11.02,1.30,1426.50,196.57,43.40,1.95,1.46,0.36,0.05,0.75,0.45,13.45,0.00,11.46,0.02,,,
218037,51,2023-04-12,2023-05-03,4,4,,12.36,10.96,1.40,1708.65,224.60,33.43,2.17,2.23,0.42,0.06,0.53,1.08,16.58,0.00,19.65,0.02,,,
218038,52,2023-04-12,2023-05-03,4,4,,7.80,6.28,1.52,1420.47,202.64,39.45,1.78,2.20,0.48,0.06,0.85,0.42,13.47,0.06,9.87,0.03,,,
218039,53,2023-04-12,2023-05-03,4,4,,10.84,7.78,3.06,1490.58,222.53,59.86,2.24,2.26,0.52,0.08,0.33,0.74,13.44,0.00,19.17,0.03,,,
218040,54,2023-04-12,2023-05-03,4,4,,14.56,12.30,2.26,1513.48,225.23,49.35,2.59,2.15,0.36,0.07,0.77,0.41,16.35,0.00,12.05,0.04,,,
218041,55,2023-04-12,2023-05-03,4,4,,12.16,11.06,1.10,1481.30,206.43,39.02,2.53,1.93,0.36,0.07,0.60,0.55,14.44,0.00,14.73,0.03,,,
218042,56,2023-04-12,2023-05-03,4,4,,10.14,7.64,2.50,1588.71,234.26,36.92,1.69,2.45,0.55,0.10,0.99,0.83,14.81,0.00,15.37,0.04,,,
218043,57,2023-04-12,2023-05-03,2,2,,23.48,22.70,0.78,1817.37,264.56,24.29,7.44,2.68,0.42,0.13,0.90,0.48,17.49,0.00,13.74,0.06,,,
218044,58,2023-04-12,2023-05-03,2,2,,7.74,6.24,1.50,1483.01,219.13,42.92,1.56,3.08,0.44,0.08,1.43,0.26,14.56,0.00,7.88,0.04,,,
218045,59,2023-04-12,2023-05-03,2,2,,17.28,16.14,1.14,1329.15,195.34,38.28,3.16,1.54,0.36,0.09,0.60,0.23,12.90,0.00,7.78,0.03,,,
218046,60,2023-04-12,2023-05-03,2,2,,8.94,7.62,1.32,1819.72,268.43,51.55,2.96,2.40,0.46,0.15,1.24,0.92,16.23,0.02,17.97,0.05,,,
