Plot,Cover type,Percent Cover,Date,Notes
13,SAME,2.5,03/09/23,
13,CECU,1.5,03/09/23,
13,Lupine,4,03/09/23,
13,Eucrypta,2,03/09/23,
13,Sage,19.5,03/09/23,
13,Chaparral,1.5,03/09/23,
13,Native Herb,6,03/09/23,
13,Non-native,4,03/09/23,
13,Bare Ground,75,03/09/23,
14,ARCA,15,03/09/23,
14,ENCA,35,03/09/23,
14,SAAP,8,03/09/23,
14,SALE,7,03/09/23,
14,SAME,6.5,03/09/23,
14,ERFA,3,03/09/23,
14,ADFA,1,03/09/23,
14,MALA,1,03/09/23,
14,Lupine,7.5,03/09/23,
14,Sage,74.5,03/09/23,
14,Chaparral,2,03/09/23,
14,Native Herb,7.5,03/09/23,
14,Non-native,0.5,03/09/23,
14,Bare Ground,23,03/09/23,
15,Lupine,3,03/09/23,
15,Eucrypta,26,03/09/23,
15,Native Herb,29,03/09/23,
15,Non-native,3,03/09/23,
15,Bare Ground,70,03/09/23,
